fruta_id;fruta_nombre;fruta_wikipedia;fruta_imagen;clima_id;clima_nombre;altitud_minima;altitud_maxima;epoca_nombre;mes_inicio;mes_final;municipio_id;municipio_nombre;departamento_id;departamento_nombre
1;Mango;https://es.wikipedia.org/wiki/Mangifera_indica;https://upload.wikimedia.org/wikipedia/commons/4/49/Mango_-_single.jpg;1;Cálido;0;1000;Bimestral Noviembre Diciembre;11;12;25815;Tocaima;25;Cundinamarca
1;Mango;https://es.wikipedia.org/wiki/Mangifera_indica;https://upload.wikimedia.org/wikipedia/commons/4/49/Mango_-_single.jpg;1;Cálido;0;1000;Bimestral Junio Julio;6;7;25815;Tocaima;25;Cundinamarca
1;Mango;https://es.wikipedia.org/wiki/Mangifera_indica;https://upload.wikimedia.org/wikipedia/commons/4/49/Mango_-_single.jpg;1;Cálido;0;1000;Bimestral Junio Julio;6;7;73268;Espinal;73;Tolima
21;Banano;https://es.wikipedia.org/wiki/Banana;https://es.wikipedia.org/wiki/Banana#/media/Archivo:Bananas.jpg;1;Cálido;0;1000;Bimestral Mayo Junio;5;6;05490;Necoclí;05;Antioquia
20;Aguacate Hass;https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana);https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana)#/media/Archivo%3AAvocado_Hass_-_single_and_halved.jpg;3;Frío;2000;3000;Cuatrimestre Enero Abril;1;4;05318;Guarne;05;Antioquia
20;Aguacate Hass;https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana);https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana)#/media/Archivo%3AAvocado_Hass_-_single_and_halved.jpg;3;Frío;2000;3000;Cuatrimestre Enero Abril;1;4;05607;Retiro;05;Antioquia
13;Guayaba;https://es.wikipedia.org/wiki/Psidium_guajava;https://es.wikipedia.org/wiki/Psidium_guajava#/media/Archivo:Goiaba_vermelha.jpg;2;Templado;1000;2000;Cuatrimestre Enero Abril;1;4;17174;Chinchiná;17;Caldas
13;Guayaba;https://es.wikipedia.org/wiki/Psidium_guajava;https://es.wikipedia.org/wiki/Psidium_guajava#/media/Archivo:Goiaba_vermelha.jpg;2;Templado;1000;2000;Cuatrimestre Enero Abril;1;4;17524;Palestina;17;Caldas
20;Aguacate Hass;https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana);https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana)#/media/Archivo%3AAvocado_Hass_-_single_and_halved.jpg;3;Frío;2000;3000;Cuatrimestre Enero Abril;1;4;05376;La Ceja;05;Antioquia
21;Banano;https://es.wikipedia.org/wiki/Banana;https://es.wikipedia.org/wiki/Banana#/media/Archivo:Bananas.jpg;1;Cálido;0;1000;Bimestral Mayo Junio;5;6;05045;Apartadó;05;Antioquia
1;Mango;https://es.wikipedia.org/wiki/Mangifera_indica;https://upload.wikimedia.org/wikipedia/commons/4/49/Mango_-_single.jpg;1;Cálido;0;1000;Bimestral Noviembre Diciembre;11;12;73268;Espinal;73;Tolima
